user_A,user_B
239150980,428365705
176482365,335858901
249363384,470573936
274617838,376597502
164926837,174694347
470444423,533595235
2732994,209479436
376551007,443128531
243828302,464507887
53651789,227940150
310046003,423075953
302277149,433722219
172006943,406627657
337685903,544788621
209242073,737837092
43561108,158899216
544788621,673622815
365929724,384715551
525143737,536071305
249460254,449552627
137839173,168297162
238326510,301859118
260143806,278713779
510315848,673622815
137839173,366988589
176482365,294133386
200489015,434373211
396315736,737837092
173111797,234965704
257075916,339171968
275644189,284864500
144794383,183896370
250941611,497117270
290002491,497117270
274617838,285617525
200832799,251116606
388093430,470573936
209242073,258050055
251116606,361968956
302277149,524025605
202508992,523955373
196433732,282551100
404262360,654170083
107026474,545945520
202508992,536071305
236860601,327664089
266594683,335566048
168607848,324649487
365929724,420189120
246635300,251116606
173111797,187068147
169184328,344201043
158899216,241246487
169184328,464507887
184942833,310792435
169184328,470573936
90511809,117296642
310605213,342563378
77538054,376551007
154498146,322988232
249363384,613050595
158899216,284796224
199347466,439368133
211699235,231667795
324649487,377504580
209242073,253086084
516165559,673622815
116161387,240199869
117296642,266524108
302277149,665305762
249460254,278913104
443128531,573350491
151322125,361013262
84471863,386391749
158899216,210505213
284864500,436529069
147477010,158899216
188897082,364224309
117296642,251116606
231409092,241097834
516165559,613050595
329939773,496939286
77538054,184942833
497117270,516165559
189463974,240555637
250941611,275644189
274429961,404262360
158899216,365654343
365243680,388093430
183006912,239150980
158899216,211699235
169184328,673622815
148113695,149214860
183006912,195957247
189463974,404262360
231667795,443128531
259529308,322988232
260143806,266594683
179270742,490576629
201857097,202508992
260143806,440860114
196388283,240555637
440860114,536071305
61806672,117296642
154498146,158899216
202508992,327664089
20424468,120188644
302585939,712762870
226165078,444857296
348117235,443448186
51260918,199511785
108425191,383808645
190059784,278941713
158899216,320977551
211699235,440860114
348117235,364224309
243828302,373912794
367001320,428365705
371766191,438595419
286917628,517813573
303972772,499386253
7140794,166379022
249460254,275267938
302585939,601769950
324827113,503217564
178648861,615205946
221031272,231968043
285617525,309075300
107026474,138016515
263353639,324649487
211609568,429691120
227940150,235817807
249363384,282551100
197555702,444857296
275644189,284796224
158899216,240199869
80911666,322839772
278713779,440860114
309075300,434268423
152930582,204713487
158899216,287978277
322177099,510315848
335566048,402684579
342563378,462559115
374154249,611720265
7140794,216422605
137647548,366988589
260143806,613318768
158899216,388093430
188897082,266594683
166970160,444857296
181813192,198510660
158899216,225470319
207493092,435797380
243816728,505591803
259070916,324649487
291791633,464766605
456864020,573350491
246635300,404262360
158899216,250400335
209242073,226928006
187651093,243816728
221787338,339171968
257075916,454449863
222048061,251116606
266594683,499386253
81956475,104239664
287978277,484272604
258050055,613318768
3554098,745539966
7974167,180443865
221031272,301876072
275644189,510315848
6816945,20424468
209242073,275644189
158899216,189463974
184942833,249363384
200489015,440860114
367001320,413503356
77538054,462502385
44641895,250220154
182873330,443128531
209175077,265084224
7140794,166970160
161957424,310046003
173111797,544788621
255415922,403440922
234782039,243816728
169184328,367593724
124706978,166970160
148174401,353760649
65103005,147331652
108425191,166970160
226928006,438595419
258050055,525143737
15061297,18346738
117296642,801223015
204713487,216800494
84471863,353850392
93250224,117296642
324649487,718920344
282551100,295068087
275644189,295068087
290907272,322988232
223746264,250400335
295068087,396315736
275644189,388093430
228926932,685897704
236860601,436529069
193881147,745539966
137647548,137839173
249363384,315533367
158899216,523955373
178648861,227940150
158899216,536071305
243828302,273502960
339171968,344201043
187068147,335566048
182873330,282551100
255627091,335206832
166970160,545945520
166970160,174694347
213648297,341237022
536071305,544788621
274429961,340459543
296351219,533595235
158899216,226165078
436529069,440860114
200489015,525143737
290002491,486072327
243816728,443128531
157069557,278941713
277954377,499386253
187068147,243816728
302585939,402684579
284796224,499386253
251116606,613496698
80911666,382337917
116130901,259149437
209175077,217387951
200832799,269781389
77538054,430701311
169184328,236860601
139588104,461727032
112008938,222340938
182793052,335566048
324690673,825005936
251116606,285617525
173111797,290002491
284796224,345137341
178768153,517813573
169184328,273502960
166912255,235817807
226928006,234782039
234782039,499386253
361013262,516888344
397332866,573350491
202508992,436529069
339171968,673622815
28337453,224212270
243828302,573350491
434373211,523955373
408101427,523955373
434373211,536071305
227725555,444857296
408101427,536071305
197555702,212965965
200489015,249363384
302277149,387269748
275644189,523955373
275644189,536071305
196433732,234782039
164558330,182883753
231667795,746926388
7140794,190949451
361013262,481029184
166970160,212965965
249460254,296351219
284864500,310792435
124706978,190949451
260143806,443128531
258050055,613050595
189612664,321137784
302585939,443448186
182793052,464779098
284796224,544788621
98121870,98440807
373912794,601769950
13206814,251116606
440860114,462559115
173111797,396315736
344201043,371766191
209242073,486072327
438595419,613318768
7140794,278800885
341237022,445347436
246635300,429794386
324649487,351503947
169184328,573350491
225658147,251116606
117296642,247695695
234782039,277954377
156009278,161957424
187068147,371766191
284796224,284864500
227455699,263353639
187068147,456864020
182822942,244465788
241097834,461727032
100212567,117882402
433196425,436701099
169184328,389179098
278713779,443128531
134596548,207493092
287978277,503217564
236862750,259529308
158899216,329939773
249363384,342563378
438595419,525143737
320893503,371766191
210141551,404262360
117296642,156832917
274429961,439368133
320893503,456864020
166970160,240674108
166970160,274617838
169184328,438595419
324649487,475909552
282551100,327664089
286917628,291791633
295068087,516165559
275644189,327664089
158899216,166912255
200489015,613050595
209242073,345137341
202508992,434373211
249460254,461815920
8404293,17605204
197652084,290907272
251940155,259149437
158899216,339721832
253894555,384715551
237053290,246635300
211699235,282551100
44641895,166912255
310792435,448813072
200489015,443128531
51260918,413503356
226165078,400109980
257075916,436529069
422547332,457760382
258050055,282551100
154604171,406627657
215211830,259149437
462559115,516165559
137226961,253894555
249460254,488362121
244465788,263353639
499386253,544788621
68146980,142510556
211609568,254918413
100212567,227937236
133719587,361013262
166970160,228715510
174694347,457760382
342563378,440860114
100212567,251116606
158899216,186076684
158899216,274656099
158899216,254137451
158899216,239150980
158899216,195957247
168607848,209479436
231667795,320893503
266594683,287978277
291119452,480028435
86580372,154498146
266594683,295068087
260320762,324827113
438595419,470573936
209479436,745539966
158899216,222340938
257075916,402684579
215250264,401791610
266594683,388093430
269255791,308759883
182883753,236293379
282665309,295068087
89504696,213648297
250941611,290002491
187651093,284796224
199511785,249363384
267398154,826720649
173111797,196433732
280109549,373912794
204713487,211609568
324827113,601769950
158899216,183777371
267605199,505591803
158899216,260143806
346397293,359564492
455009429,516165559
169184328,234782039
173111797,257075916
158899216,462559115
215250264,669799002
20392564,260570741
182873330,342563378
200832799,238326510
239150980,243828302
361013262,428618627
436529069,443128531
8803601,251116606
163727272,335858901
389158616,591656859
116161387,158899216
172006943,231020439
227455699,464116279
260320762,486072327
438595419,673622815
324690673,400109980
277954377,510315848
303972772,536071305
324649487,548754269
327664089,342563378
309075300,404262360
249460254,297758866
290002491,396315736
173111797,365243680
57053109,142510556
268452167,325071663
144192992,466766153
277675978,464766605
310792435,438595419
429063104,466766153
257075916,443448186
182873330,201857097
20392564,168607848
181813192,274429961
216422605,231682638
166970160,457760382
182883753,247825158
234965704,402684579
172006943,254918413
302277149,461696862
161957424,321137784
100212567,314998672
295068087,302585939
57053109,148113695
80805248,341237022
310605213,484272604
324649487,760100064
285617525,326146496
329939773,443128531
475838998,490359301
18346738,158899216
266594683,523955373
290002491,339171968
266594683,536071305
434373211,462559115
226928006,243816728
158899216,386391749
230378407,443128531
158899216,159053828
209242073,290002491
243942198,322839772
443128531,499386253
158899216,496939286
196433732,335566048
364224309,497117270
187651093,388093430
178768153,291791633
257075916,298647466
275644189,462559115
364224309,397332866
371766191,456864020
81676529,252291590
158899216,444857296
249460254,754815253
246635300,376597502
310046003,324649487
302277149,446524998
324649487,490359301
462559115,601769950
236860601,525143737
158208672,591656859
7974167,235817807
196433732,243816728
96985032,158899216
201857097,295068087
320977551,544788621
53651789,159912486
187651093,255014960
237154574,525143737
303972772,327664089
505591803,712762870
211699235,236551076
525143737,613318768
157685181,475838998
164926837,246345473
2038529,5381974
225470319,255415922
234782039,388093430
419704365,453208976
463029585,539813568
339171968,438595419
250400335,359564492
278713779,746926388
341237022,377504580
6255699,134047119
152930582,172006943
81956475,158899216
117296642,215803017
172006943,259529308
229610131,662741463
185867292,355970279
188897082,746926388
144192992,528327286
302277149,450987491
324649487,545493830
183896370,290907272
229610131,444857296
266594683,327664089
3885026,178648861
184942833,201857097
225701,380937986
282665309,327664089
236860601,249363384
199511785,282551100
187068147,320977551
275644189,496939286
106298354,225580281
315533367,397332866
250220154,405858154
260143806,342563378
157685181,433196425
361341456,550375189
216422605,324690673
406250097,475909552
202508992,525143737
133719587,248739640
238326510,309075300
260143806,379141672
211699235,342563378
182793052,211699235
17605204,212183524
117296642,553809214
117882402,263613095
158899216,185700509
209479436,268808118
320893503,320977551
361013262,426399669
258050055,342563378
361013262,452727252
173111797,302585939
154604171,429691120
249460254,422322227
216422605,277705371
228715510,231682638
244465788,403440922
183006912,443128531
158899216,545945520
158899216,174694347
180443865,227940150
180443865,266866811
187068147,388093430
196433732,371766191
342563378,443128531
278713779,342563378
196433732,456864020
410529163,440036313
201857097,536071305
351503947,466766153
234782039,523955373
257075916,310792435
234782039,536071305
80911666,296351219
225470319,502802985
158899216,278713779
290002491,516165559
320893503,388093430
337685903,434373211
124706978,404262360
275644189,434373211
295068087,402684579
108425191,404262360
222662041,231020439
303221255,373674184
367593724,388093430
136016661,158899216
199347466,591656859
20392564,193881147
444857296,533542586
302277149,390936157
202508992,249363384
249460254,477077977
251116606,320044698
196433732,313948034
200623291,322839772
251116606,535285117
257075916,282665309
345137341,484272604
249460254,423583962
284864500,448813072
287978277,601769950
249460254,323580122
200489015,342563378
202508992,470573936
185700509,316358076
251116606,669799002
302277149,386959038
324649487,406250097
361013262,461792441
158899216,231667795
243816728,253086084
20392564,170577151
188897082,320893503
164926837,223746264
183006912,582621797
284796224,327664089
174694347,237053290
133719587,481029184
260320762,503217564
226928006,284864500
470573936,505591803
196433732,277954377
47818794,117296642
158899216,212965965
172006943,183896370
209242073,257075916
320977551,510315848
303972772,462559115
201857097,327664089
274429961,335206832
237699485,241753070
369223575,483451780
187068147,523955373
7346857,124706978
80911666,265329539
257075916,525143737
149214860,207493092
302585939,373912794
249460254,299936013
151322125,461792441
202508992,673622815
249460254,441518340
251116606,293994164
157685181,490576629
295068087,364224309
329939773,746926388
132757936,224212270
249363384,371766191
373912794,505591803
173111797,436529069
249363384,456864020
255415922,324649487
384715551,420189120
166970160,241785546
361013262,415011600
137839173,459195779
158899216,266594683
117296642,552235477
158899216,440860114
197555702,210141551
273502960,389179098
420476642,738711054
77538054,389179098
5381974,117296642
117296642,163744299
302585939,367593724
361013262,468586160
295068087,462502385
266594683,462559115
285617525,533542586
158899216,316358076
188897082,737837092
361968956,410734838
139588104,350956783
236860601,582621797
298647466,339171968
361013262,375213336
443128531,510315848
77538054,438595419
166970160,210141551
196433732,303972772
159639383,196388283
249363384,524356872
249363384,313948034
523955373,613318768
117296642,207493092
166231159,291119452
285861513,361341456
173111797,402684579
273502960,320893503
240555637,403440922
337685903,430701311
251116606,515984352
15398201,252037779
282665309,436529069
142510556,296395226
226165078,403440922
290002491,712762870
250941611,712762870
257075916,470573936
182703747,183006912
523955373,525143737
65103005,142510556
401791610,669799002
335566048,389179098
151322125,375213336
290002491,601769950
154498146,406627657
339987565,361341456
166231159,246635300
169184328,499386253
200623291,382337917
3554098,353760649
158899216,228715510
402684579,436529069
226928006,284796224
19245161,117296642
181813192,277705371
260143806,397332866
268006730,673622815
117296642,465740359
275644189,440860114
335566048,438595419
309075300,533542586
107026474,256455395
249363384,484272604
397332866,544788621
361013262,481397633
302277149,443166202
185700509,227940150
260570741,332344263
7140794,154276418
731191,62646118
95914244,228926932
158899216,837611194
176482365,182883753
184942833,335566048
371766191,388093430
158899216,400109980
253894555,361341456
173111797,434373211
286917628,464766605
173111797,183006912
249460254,306624848
367001320,464507887
158899216,334989415
196433732,284796224
257075916,673622815
302277149,433229652
20392564,475909552
3554098,161957424
182793052,516165559
222122101,324827113
493086989,545945520
34380146,147331652
158208672,420476642
302277149,669799002
224212270,468803659
259529308,406627657
434373211,613318768
17605204,159912486
182823295,251116606
